id	source	sent1	image1	sent2	image2	sim
coco-12340	coco	A group of people walking around parked buses .	images/coco/COCO_val2014_000000076721.jpg	A group of people crossing a street near a traffic light .	images/coco/COCO_val2014_000000480140.jpg	1.4
coco-12385	coco	A plate of food on a wooden table .	images/coco/COCO_train2014_000000031286.jpg	A baby boy sitting at a wooden table in front of a white plate .	images/coco/COCO_val2014_000000099481.jpg	2
coco-12485	coco	an old black and white photo of planes flying in the air	images/coco/COCO_train2014_000000569205.jpg	An single passanger in an airplane flying through the sky	images/coco/COCO_val2014_000000044652.jpg	3.4
coco-12524	coco	A man in black shirt doing a trick on a snowboard .	images/coco/COCO_train2014_000000271166.jpg	A guy on a skateboard doing a trick on a wall .	images/coco/COCO_train2014_000000197001.jpg	2.2
coco-12531	coco	A man standing next to a little girl in the snow .	images/coco/COCO_train2014_000000447336.jpg	A man standing next to a beautiful girl while holding ski poles .	images/coco/COCO_train2014_000000415946.jpg	3.8
coco-1254	coco	A couple of hot dogs sitting on top of a white plate .	images/coco/COCO_train2014_000000183893.jpg	A young man being fed a hot dog .	images/coco/COCO_train2014_000000326300.jpg	2.4
coco-12553	coco	A gray cat sitting in a white sink in a bathroom .	images/coco/COCO_val2014_000000539683.jpg	One cat in a bathroom sink and another on the counter .	images/coco/COCO_train2014_000000386414.jpg	3
coco-12613	coco	A wooden bench sitting in the middle of a park .	images/coco/COCO_train2014_000000082131.jpg	A stuffed animal sitting on top of a bench .	images/coco/COCO_train2014_000000194528.jpg	3
coco-1262	coco	An open luggage bag contains clothing items and a pair of shoes .	images/coco/COCO_train2014_000000170780.jpg	An animal sitting inside of a bag of luggage that is unzipped .	images/coco/COCO_train2014_000000054575.jpg	1.5
coco-12650	coco	A man in black standing with his hand on a motorcycle handle .	images/coco/COCO_val2014_000000303768.jpg	A group of people standing outside of a black vehicle with various luggage .	images/coco/COCO_train2014_000000287234.jpg	0.2
coco-12764	coco	A small airplane sitting on top of a lush green field .	images/coco/COCO_train2014_000000553969.jpg	A dog chasing two sheep on top of a lush green field .	images/coco/COCO_val2014_000000355234.jpg	0.8
coco-1277	coco	A train pulled into a station with people in the background .	images/coco/COCO_val2014_000000211891.jpg	A yellow train coming into the train station .	images/coco/COCO_train2014_000000446307.jpg	3.6
coco-12924	coco	A glass plate topped with sliced apples and caramel .	images/coco/COCO_train2014_000000385658.jpg	A white plate topped with heart shaped waffles next to bacon and eggs .	images/coco/COCO_val2014_000000265227.jpg	1.4
coco-13041	coco	A bunch of traffic lights sitting on the sidewalk .	images/coco/COCO_train2014_000000506664.jpg	A stove top oven sitting inside of a kitchen .	images/coco/COCO_train2014_000000557931.jpg	0
coco-13130	coco	A man holding a shopping bag crossing a street holding a shopping bag .	images/coco/COCO_train2014_000000438698.jpg	A street with hanging street lights and a brick building .	images/coco/COCO_train2014_000000177604.jpg	0.5
coco-13183	coco	A group of young children sitting around a table eating .	images/coco/COCO_train2014_000000108238.jpg	A groupe of people doing some crafts at a table .	images/coco/COCO_train2014_000000105389.jpg	1.75
coco-13228	coco	A baseball player standing on a field being watched by a crowd .	images/coco/COCO_train2014_000000213117.jpg	A man plays with a Frisbee while a crowd looks on .	images/coco/COCO_val2014_000000077954.jpg	1.6
coco-13275	coco	A parking lot scene with cars and motorcycles .	images/coco/COCO_val2014_000000484301.jpg	A large parking lot filled with cars and a waiting shuttle	images/coco/COCO_train2014_000000368874.jpg	4
coco-13324	coco	A baseball player is attempting to hit the ball .	images/coco/COCO_train2014_000000118745.jpg	A tennis player reaches high to hit the ball .	images/coco/COCO_val2014_000000394418.jpg	1.2
coco-13370	coco	A claw foot bathtub stands in the middle of a pristine white bathroom .	images/coco/COCO_val2014_000000573993.jpg	A bathroom with hardwood floors and a double sink , with a white oval bathtub in the middle of the room .	images/coco/COCO_val2014_000000323186.jpg	3
coco-134	coco	A man doing a trick with a frisbee on a beach .	images/coco/COCO_train2014_000000383890.jpg	A man is on a surfboard riding a wave .	images/coco/COCO_train2014_000000227941.jpg	0.4
coco-1343	coco	A man is playing tennis on a tennis court .	images/coco/COCO_train2014_000000278744.jpg	A women playing tennis , there is a large audience in the background .	images/coco/COCO_train2014_000000175870.jpg	2.75
coco-13435	coco	Two giraffes stand next to each other in a fenced area .	images/coco/COCO_train2014_000000469137.jpg	A giraffe standing in the walkway next to a doorway .	images/coco/COCO_train2014_000000342494.jpg	3.25
coco-13453	coco	people holding open umbrellas walking on a city street	images/coco/COCO_train2014_000000449103.jpg	a person walking on a city street with an umbrella	images/coco/COCO_train2014_000000065712.jpg	4
coco-13523	coco	A person sailing over a ocean on a glider .	images/coco/COCO_val2014_000000578655.jpg	A man in a suit looking over a small wall at the beach and ocean .	images/coco/COCO_train2014_000000412752.jpg	1.4
coco-1356	coco	The woman is playing a game of tennis on the court .	images/coco/COCO_train2014_000000211079.jpg	A tennis player on the court holding a racket .	images/coco/COCO_train2014_000000418134.jpg	3.25
coco-13635	coco	a desk with a monitor a keyboard and a laptop	images/coco/COCO_train2014_000000191136.jpg	a person sitting in front of a desk with a laptop and monitor	images/coco/COCO_train2014_000000161190.jpg	3
coco-13669	coco	The person has a big piece of colorful cake on a plate .	images/coco/COCO_train2014_000000495269.jpg	A person taking a picture of a sandwich on a white plate .	images/coco/COCO_train2014_000000303935.jpg	0.8
coco-13687	coco	A person is riding a motorcycle in the rain .	images/coco/COCO_train2014_000000112896.jpg	A person wearing a helmet is riding a motorcycle	images/coco/COCO_train2014_000000131084.jpg	3.2
coco-1369	coco	A man in a green shirt skates at a skate park .	images/coco/COCO_train2014_000000444649.jpg	A boy in a red shirt with a helmet and yellow bat	images/coco/COCO_val2014_000000427181.jpg	0.2
coco-13716	coco	crowd of people waiting with their suitcases in a train waiting room	images/coco/COCO_train2014_000000122274.jpg	A woman in a red shirt playing with a Wii in the living room .	images/coco/COCO_val2014_000000540544.jpg	0
coco-13724	coco	Plates of food cover a table and includes vegetables and potatoes .	images/coco/COCO_train2014_000000307113.jpg	A cake is being cut , and shared at a table .	images/coco/COCO_train2014_000000269364.jpg	1.2
coco-13726	coco	A man in a white shirt and tie eating a doughnut .	images/coco/COCO_train2014_000000168361.jpg	A man holding a doughnut while eating it .	images/coco/COCO_train2014_000000511700.jpg	4
coco-1378	coco	A man walking his dog along a sidewalk in a park .	images/coco/COCO_val2014_000000048014.jpg	A dog sniffs a concrete bench near a man in a snowy park .	images/coco/COCO_train2014_000000519850.jpg	2
coco-13798	coco	A train on train tracks running through a city .	images/coco/COCO_train2014_000000394436.jpg	A red electric train travailing through the forest .	images/coco/COCO_train2014_000000017100.jpg	3
coco-13807	coco	The bathroom is small and white and gray .	images/coco/COCO_val2014_000000155154.jpg	Photo taken of a dingy bathroom and a broken toilet .	images/coco/COCO_train2014_000000572985.jpg	2.4
coco-13823	coco	A man and two girls sitting on a couch with a dog .	images/coco/COCO_val2014_000000439774.jpg	Group of children sitting on a bench petting a dog .	images/coco/COCO_val2014_000000300784.jpg	2.8
coco-13935	coco	A group of elephants bathing in a river and walking on a shore line .	images/coco/COCO_train2014_000000138192.jpg	A group of people sitting on an elephant and riding across a stream .	images/coco/COCO_train2014_000000403190.jpg	2.6
coco-13958	coco	some males on some sand are playing volleyball	images/coco/COCO_val2014_000000179960.jpg	Two men playing frisbe on an indoor court .	images/coco/COCO_val2014_000000163118.jpg	1.8
coco-13972	coco	A large selection of pastries and snacks inside of a glass case .	images/coco/COCO_val2014_000000330237.jpg	A large stack of brownies at a market .	images/coco/COCO_train2014_000000475999.jpg	2.75
coco-1398	coco	A formation of aircraft flying in a blue sky .	images/coco/COCO_train2014_000000474670.jpg	A airplane that is flying in the sky .	images/coco/COCO_train2014_000000174337.jpg	2
coco-14000	coco	A girl sitting on floor with a laptop next to a dog .	images/coco/COCO_train2014_000000320454.jpg	A dog with a toy in its mouth running in a backyard .	images/coco/COCO_train2014_000000379966.jpg	0.4
coco-14031.1	coco	a close up of a person sitting down with an aumbrella	images/coco/COCO_train2014_000000475699.jpg	there is a male biker sitting next to a cow that is laying down	images/coco/COCO_train2014_000000268646.jpg	1
coco-14031.2	coco	A man tossing a frisbee on top of a green field .	images/coco/COCO_train2014_000000241196.jpg	A small green car has a plaque with writing in front of it .	images/coco/COCO_val2014_000000296012.jpg	0
coco-14072	coco	A woman is wading through a muddy water with a bike .	images/coco/COCO_train2014_000000401196.jpg	A man with a dog is going for a bike ride .	images/coco/COCO_train2014_000000309526.jpg	2.25
coco-14129	coco	A young man in a beige suit and tie .	images/coco/COCO_train2014_000000225591.jpg	A woman and man at a table with a cake .	images/coco/COCO_train2014_000000483788.jpg	1
coco-1426	coco	A white toilet sitting next to a tub in a bathroom .	images/coco/COCO_train2014_000000043340.jpg	A white toilet sitting next to a hair dryer .	images/coco/COCO_train2014_000000290361.jpg	3.2
coco-1429	coco	A man sitting in field next to a herd of cows .	images/coco/COCO_train2014_000000445368.jpg	a horse in a saddle next to a house	images/coco/COCO_train2014_000000266302.jpg	0
coco-14362	coco	A black cat laying on a floor next to a kite .	images/coco/COCO_train2014_000000158031.jpg	A person holding a donut close to a black cat	images/coco/COCO_val2014_000000362289.jpg	2
coco-14396	coco	Three zebras standing around in a field doing different things	images/coco/COCO_val2014_000000028508.jpg	Giraffes standing next to zebras on a lush green field .	images/coco/COCO_val2014_000000062020.jpg	3
coco-14443	coco	A young girl on a beach flying a kite	images/coco/COCO_val2014_000000245414.jpg	a girl is sitting on a bicycle outside	images/coco/COCO_val2014_000000144333.jpg	0.8
coco-14481	coco	A bus stops next to a street sign .	images/coco/COCO_val2014_000000212322.jpg	A car parked on the street next to a tree and stop sign .	images/coco/COCO_val2014_000000066144.jpg	2.25
coco-14515	coco	A pizza sitting on top of a table next to a plate of fries .	images/coco/COCO_train2014_000000365359.jpg	A small personal pizza sits on top of a table .	images/coco/COCO_train2014_000000340623.jpg	4
coco-1458	coco	A baseball player pitching a ball on a field .	images/coco/COCO_train2014_000000069320.jpg	A female tennis player preparing to hit a tennis ball .	images/coco/COCO_train2014_000000050340.jpg	1.5
coco-14609	coco	A young man riding a skateboard on top of a cement slab .	images/coco/COCO_train2014_000000373964.jpg	A man riding a wave on top of a surfboard .	images/coco/COCO_val2014_000000460199.jpg	2
coco-14638	coco	A man on a lake is on a surfboard with a sail .	images/coco/COCO_train2014_000000124737.jpg	a man with a surfboard poses on a beach	images/coco/COCO_train2014_000000356086.jpg	2
coco-14654	coco	A bed and desk in a small room .	images/coco/COCO_val2014_000000000133.jpg	A toilet in a very small white bathroom .	images/coco/COCO_train2014_000000005010.jpg	1
coco-14680	coco	A group of people standing in a field with kites in the background .	images/coco/COCO_val2014_000000218189.jpg	A group of people who are standing in the dirt .	images/coco/COCO_train2014_000000060327.jpg	1.8
coco-14769	coco	there is a young boy sitting in a chair with stuffed animals	images/coco/COCO_val2014_000000275268.jpg	A baby that is sitting in a chair .	images/coco/COCO_val2014_000000033066.jpg	2
coco-14783	coco	A man stopped on the road on a motorcycle .	images/coco/COCO_train2014_000000117413.jpg	A man riding on the back of a motorcycle in a gas station .	images/coco/COCO_train2014_000000494833.jpg	2.6
coco-14801	coco	A bathroom area with a tub , shelves and a sink .	images/coco/COCO_val2014_000000114303.jpg	A bathroom area of plane with a sink and toilet .	images/coco/COCO_train2014_000000191332.jpg	2.8
coco-14822	coco	A cow laying down in a grass field .	images/coco/COCO_train2014_000000089895.jpg	A giraffe is walking in a field of grass .	images/coco/COCO_train2014_000000308170.jpg	1
coco-14842	coco	A man swinging a tennis racket on a court .	images/coco/COCO_train2014_000000414610.jpg	A man standing on a tennis court holding a racquet .	images/coco/COCO_train2014_000000516840.jpg	3.8
coco-14909	coco	Two people with yellow parasols in grassy field .	images/coco/COCO_train2014_000000262012.jpg	Man flying yellow kite in a a grassy field .	images/coco/COCO_val2014_000000137300.jpg	1.5
coco-14933	coco	Two people at a party with having drinks with others .	images/coco/COCO_train2014_000000199836.jpg	Two people are playing a game with controls .	images/coco/COCO_train2014_000000425320.jpg	1.2
coco-14957	coco	A man in a dark-colored cardigan clutching a cell phone	images/coco/COCO_train2014_000000181343.jpg	A man hugging another man in a pink shirt and bow tie .	images/coco/COCO_train2014_000000110530.jpg	0.2
coco-14960	coco	A young unclothed child partially covered with a blanket on another blanket holding a cell phone .	images/coco/COCO_val2014_000000073588.jpg	A small child chewing on a cell phone next to a river .	images/coco/COCO_val2014_000000518034.jpg	2.5
coco-14963	coco	A pizza sitting on top of a brown tray .	images/coco/COCO_train2014_000000015203.jpg	Two pizzas sitting on pizza pans on a oven .	images/coco/COCO_val2014_000000561004.jpg	3.2
coco-14986	coco	A dog sleeps on a round bed in front of a fire place of a living area .	images/coco/COCO_val2014_000000301963.jpg	A cat sits on top of a desk .	images/coco/COCO_val2014_000000038938.jpg	1.5
coco-14990	coco	A woman sitting in a shallow canoe in the floating market .	images/coco/COCO_train2014_000000106755.jpg	People shopping in an outdoor farmers market .	images/coco/COCO_train2014_000000551733.jpg	1.8
coco-15045	coco	A man on a court swinging a tennis racket .	images/coco/COCO_train2014_000000242618.jpg	A tennis player playing on a tennis court .	images/coco/COCO_train2014_000000505622.jpg	3.5
coco-15056	coco	A set of glassware that is on the ground .	images/coco/COCO_train2014_000000045282.jpg	A woman is sitting with two cups of coffee and two plates with a cupcake on each .	images/coco/COCO_train2014_000000029320.jpg	1.25
coco-15101	coco	a man is swinging a baseball bat at a game	images/coco/COCO_train2014_000000173130.jpg	A person that is playing in a baseball game .	images/coco/COCO_train2014_000000544325.jpg	3.2
coco-15247	coco	A couple of people wearing backpacks walk onto a ferry .	images/coco/COCO_train2014_000000003320.jpg	A walk in shower sitting next to a white toilet .	images/coco/COCO_train2014_000000480798.jpg	0
coco-15265	coco	A bedroom with a large window and a bed with many pillows and a comforter	images/coco/COCO_val2014_000000011313.jpg	A man and a woman sleeping on a bed .	images/coco/COCO_train2014_000000254984.jpg	2.2
coco-1540	coco	A woman wearing a hat talking on a cell phone .	images/coco/COCO_val2014_000000219458.jpg	A woman talks on a cell phone while shopping .	images/coco/COCO_train2014_000000088576.jpg	3
coco-15503	coco	A cat is in a bathroom siting on the toilet lid .	images/coco/COCO_train2014_000000048935.jpg	A cat on the kitchen counter sticking its nose in a cupboard .	images/coco/COCO_val2014_000000402333.jpg	2
coco-15655	coco	a small bathroom with a toilet and a urinal	images/coco/COCO_val2014_000000386786.jpg	A woman is taking a picture in a bathroom mirror .	images/coco/COCO_val2014_000000150088.jpg	2
coco-15700	coco	A baseball player batting while a catcher and umpire sit behind him and a row of baseball players watch .	images/coco/COCO_val2014_000000291680.jpg	Three shots of a baseball player mid swing	images/coco/COCO_train2014_000000300321.jpg	3
coco-15701	coco	A woman holding a Nintendo Wii game controller near a man .	images/coco/COCO_val2014_000000383838.jpg	Two men holding controllers near others on a couch .	images/coco/COCO_val2014_000000358268.jpg	2.8
coco-15704	coco	A container of meat sitting on the counter next to a fryer .	images/coco/COCO_val2014_000000189015.jpg	two pizzas colorful on top of a counter ready to cook	images/coco/COCO_train2014_000000513811.jpg	0.2
coco-15729	coco	a male with glasses and a green helmet is eating a banana	images/coco/COCO_val2014_000000098280.jpg	a male boy in a green shirt and a laptop	images/coco/COCO_train2014_000000370793.jpg	1
coco-15783	coco	A table with two plates and a pastry on each one .	images/coco/COCO_train2014_000000498644.jpg	a table filled with pancakes , toast and some drinks	images/coco/COCO_val2014_000000273698.jpg	2.8
coco-15874	coco	A bedroom that has the door closed , and a bed with a stuffed animal teddy bear sitting on the pillow of a bed .	images/coco/COCO_train2014_000000420650.jpg	A person is on a bed watching a television screen .	images/coco/COCO_val2014_000000513073.jpg	1.25
coco-15965	coco	A photograph of a white sink in a stone vanity , with a mirror above .	images/coco/COCO_train2014_000000479202.jpg	A variety of bathroom fixtures sit in a storage area .	images/coco/COCO_val2014_000000497099.jpg	1.4
coco-1602	coco	A man in blue and red jersey holding a baseball bat .	images/coco/COCO_train2014_000000400535.jpg	A man holding a tennis racquet in front of a tennis ball .	images/coco/COCO_val2014_000000416700.jpg	1.4
coco-16023	coco	A man riding a snowboard down the side of a snow covered slope .	images/coco/COCO_train2014_000000367639.jpg	A man riding skis down a snow covered mountain .	images/coco/COCO_val2014_000000199149.jpg	3
coco-16049	coco	Wilted tulip in a fancy vase on lacquer table .	images/coco/COCO_train2014_000000035907.jpg	A tall glass vase sitting on a table in a room	images/coco/COCO_val2014_000000428079.jpg	3
